"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,219042.745,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,233214.848,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,239200.933,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,244844.476,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,251340.332,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,258342.851,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,265040.751,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,275515.311,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,287442.098,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,297198.627,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,313291.863,"E","Estimated value"
"CAN","Canada","P31S13","Individual consumption expenditure of general government","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,341060.731,"E","Estimated value"
"CAN","Canada","D11D","of which: Manufacturing (ISIC rev3)","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,95364,,
"CAN","Canada","D11D","of which: Manufacturing (ISIC rev3)","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,90802,,
"CAN","Canada","D11D","of which: Manufacturing (ISIC rev3)","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,80850,,
"CAN","Canada","D11D","of which: Manufacturing (ISIC rev3)","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,82164,,
"CAN","Canada","D11D","of which: Manufacturing (ISIC rev3)","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,85158,,
"CAN","Canada","D11D","of which: Manufacturing (ISIC rev3)","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,87971,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,8975,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,10000,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,-5460,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,346,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,11371,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,6822,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,13705,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,9603,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,-577,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,-228,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,18284,,
"CAN","Canada","P52","Changes in inventories","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,15677,,
